feature_id,family,system,name,ensemble,avg_f1,worst_f1,std_f1,avg_roc_auc,worst_roc_auc,std_roc_auc,avg_pr_auc,worst_pr_auc,std_pr_auc,avg_prec,avg_rec,avg_acc,worst_acc,std_acc,train_time,infer_time
SkipGram_compact_dim64_win3,SkipGram,single,KNN,-,0.7478998867259886,0.33992341048983,0.2018512042711224,0.8915149046485019,0.7262564397923226,0.08445207911756272,0.9137152486143637,0.8376899813098936,0.04714012688367227,0.8726366528683465,0.7278771995112601,0.7429560717095988,0.3228403035726842,0.20260835552772619,0.0,0.04147948026657105
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,RF+LinearSVC,Best2_Hard,0.7441300421432872,0.7441300421432872,,,,,,,,0.6768893756845564,0.8262032085561497,0.7730912973838762,0.7730912973838762,,0.0,0.03817009925842285
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC,Fast2_Hard,0.737247037180796,0.47774316959274127,0.1888545079268923,,,,,,,0.8399057406355479,0.7126301387903567,0.7328073836077245,0.5251137841352406,0.1862412059710454,0.0,0.0008965224027633667
OpPhrase_unigram_only_dim128_win5,OpPhrase,single,KNN,-,0.7356543962779916,0.32430688232177735,0.21128557329725947,0.8912164696306297,0.7241031546351798,0.0849691427550968,0.9139425681783393,0.8406418545795514,0.0464302888419389,0.8669980328013467,0.7158677319940827,0.735648935215422,0.3139663247098604,0.20562451782848618,0.0,0.06243606805801391
SkipGram_compact_dim64_win3,SkipGram,within_feature,LR+DT,Fast2_Hard,0.7337409672040022,0.7337409672040022,,,,,,,,0.6279733587059942,0.8823529411764706,0.7441239316239316,0.7441239316239316,,0.0,0.00044155120849609375
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,single,LinearSVC,-,0.7249790268732049,0.3738201327853233,0.18453662305786966,0.8464792423124018,0.703982386540629,0.11301404214514929,0.8967238588143204,0.8056568694169484,0.04588452130949622,0.7802659984727375,0.7585431927125095,0.6955391540285166,0.3276426884167184,0.19697763236222132,0.0,0.0022038936614990233
OpPhrase_unigram_topk_bigram_dim128_win5,OpPhrase,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,0.7241965776495171,0.33428668473928225,0.21224591038633223,,,,,,,0.8767984316078035,0.6871574215139559,0.7176356125982964,0.31803879432985743,0.22441959201253672,0.0,0.10084750652313233
SkipGram_compact_dim64_win3,SkipGram,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,0.7212821358315643,0.3142076769566753,0.21662528919629015,,,,,,,0.8774415146437238,0.6808874921700886,0.7146562597459409,0.3054854701778907,0.2283342950016096,0.0,0.07448793649673462
OpPhrase_unigram_only_dim128_win5,OpPhrase,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,0.7199046453842595,0.31573434977274845,0.21691660938178609,,,,,,,0.8757957865932977,0.6822325895604955,0.7126818856264301,0.30643931959456705,0.22869104559111592,0.0,0.09905582070350646
OpPhrase_unigram_only_dim128_win5,OpPhrase,single,LinearSVC,-,0.7171183117060379,0.3527371303688258,0.1932828039549745,0.8467123576209273,0.709148959106654,0.11090648881406943,0.895366916372237,0.8066921254391598,0.04568373608822682,0.7743115762050751,0.7525467725514084,0.6878882121234489,0.30939705862072364,0.20265048938432492,0.0,0.002223098278045654
LiWP_n2_minDf1_SPARSE,LiWP,within_feature,LR+LinearSVC,Fast2_Soft,0.712606148642206,0.43560177050490523,0.21154236645762003,0.8407210053632814,0.5796868272680676,0.1837517741922819,0.8919743360259399,0.7144718397648305,0.11988043039149406,0.8532710167023291,0.6681847707376563,0.7162130148487083,0.5082899869960988,0.20675029072182538,0.0,0.030490506688753763
LiWP_n3_minDf1_SPARSE,LiWP,single,KNN,-,0.7110252746146026,0.18689810747468136,0.2502457189130691,0.8930540380924245,0.6360751678857749,0.11231204380920455,0.919893977982681,0.853664828047591,0.04583115645703351,0.9081943628048232,0.6549871136909843,0.7206228265546601,0.24008047438979618,0.23238121999631714,0.0,12.427166360616683
